问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
171 、在冲压过程中，装卸工件时，应注意什么事项,A,A、脚应离开踏杆,B、脚可以一直搭在踏杆上，只要不用力,C、脚可以时而踩在踏杆，时而离开踏杆,D、不用注意
172 、人体在电磁场作用下，由于（）将使人体受到不同程度的伤害。,C,A、电流,B、电压,C、电磁波辐射
173 、装卸刀具和切削工件时均要先锁紧,C,A、尾座,B、尾座套筒,C、方刀架
174 、测量绝缘电阻可用,B,A、万用表,B、兆欧表,C、示波器,D、电笔
175 、为防止静电火花引起事故，凡是用来加工、贮存、运输各种易燃气、液、粉体的设备金属管、非导电材料管都必须（ ）。,C,A、有足够大的电阻,B、有足够小的电阻,C、可靠接地
176 、采用花盘或花盘-弯板安装工件时，必要时还要配装（ ）,D,A、中心架,B、跟刀架,C、顶尖,D、平衡铁
177 、2002年7月1日发布的《安全生产法》第3条：安全生产管理坚持()的方针。,B,A、安全第一，质量第二,B、安全第一，预防为主,C、安全为了生产，生产必须安全
178 、在舂实砂型时，要注意,A,A、手不得放在砂箱上,B、手可以放在砂箱上,C、听指导师傅讲解,D、观察身边同学操作
179 、在舂实砂型时，要注意（　）,A,A、手不得放在砂箱上,B、手可以放在砂箱上,C、听指导师傅讲解,D、观察身边同学操作
180 、金属Hg具有高毒性，常温下挥发情况如何,B,A、不挥发,B、慢慢挥发,C、很快挥发,D、需要在一定条件下才会挥发
181 、可以在化学实验室穿着的鞋是,D,A、凉鞋,B、高跟鞋,C、拖鞋,D、球鞋
182 、塑料、有机玻璃制品的加热温度不能超过（　）。,B,A、40℃,B、60℃,C、80℃
183 、使用灭火器扑救火灾时要对准火焰（ ）喷射。,C,A、上部,B、中部,C、根部
184 、爆炸物品在发生爆炸时的特点有（ ）。,D,A、反应速度极快，通常在万分之一秒以内即可完成,B、释放出大量的热,C、产生大量的气体,D、以上都是
185 、恒温培养箱的使用最高温度为：,A,A、60℃,B、100℃,C、45℃,D、80℃
186 、漏电保护器的使用是防止（ ）。,A,A、触电事故,B、电压波动,C、电流过大
187 、漏电保护器对下例哪种情况不起作用？,C,A、单手碰到带电体,B、人体碰到带电设备,C、双手碰到两相电线（此时人体作为负载，已触电）。,D、人体碰到漏电机壳。
188 、身上着火怎么办？（ ）,A,A、就地打滚。,B、奔跑。
189 、以下符合急救与防护“四先四后”原则的是：,A,A、先抢后救,B、先轻后重,C、先缓后急,D、先病后伤
190 、实验时，电源变压器付边输出被短路，会出现什么现象，直至烧毁？,D,A、电源变压器有异味,B、电源变压器冒烟,C、电源变压器发热,D、以上都是
191 、万一发生电气火灾，首先应该采取的第一条措施是：,B,A、打电话报警,B、切断电源,C、扑灭明火,D、求援
192 、由于行为人的过失引起火灾，造成严重后果，危害公共安全的行为，构成,B,A、纵火罪,B、失火罪,C、玩忽职守罪,D、重大责任事故罪
193 、以下什么物质引起的皮肤灼伤禁用水洗,D,A、五氧化二磷,B、五硫化磷,C、五氯化磷,D、以上都是
194 、容器中的溶剂或易燃化学品发生燃烧应如何处理,A,A、用灭火器灭火或加砂子灭火,B、加水灭火,C、用不易燃的瓷砖、玻璃片盖住瓶口,D、用湿抹布盖住瓶口
195 、灭火的四种方法是（ ）。,C,A、捂盖法、扑打法、浇水法、隔开法,B、扑灭法、救火法、化学法、泡沫法,C、隔离法、窒息法、冷却法、化学抑制法
196 、当发现眼睛可能进了铁屑，应采取措施（　）,B,A、坚持实习，下班后上医院,B、先告诉指导教师，尽快上医院检查,C、坚持实习，不是特别难受就不上医院
197 、静电电压最高可达（），可现场放电，产生静电火花，引起火灾。,B,A、50伏,B、上万伏,C、220伏
198 、实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责,A,A、实验室主任,B、指导教师,C、学生
199 、最早提出“在校学生每天平均要有一小时体育锻炼”的国家领导人是,A,A、毛泽东,B、周恩来,C、朱德,D、刘少奇
200 、实验室人员发生触电时，下例哪种行为是不正确的？,B,A、应迅速切断电源，将触电者上衣解开，取出口中异物，然后进行人工呼吸。,B、应迅速注射兴奋剂。,C、当患者伤势严重时，应立即送医院强救。
201 、对实验室安全检查的重点是：,D,A、可燃易燃性、可传染性、放射性物质、有毒物质的使用和存放,B、清除污染和废弃物处置情况,C、清除污染和废弃物处置情况,D、以上都是
202 、设备或线路的确认无电，应以什么指示作为根据？,B,A、电压表,B、正常的验电工具,C、断开信号,D、电流表
203 、实验室生物安全等级分四级，哪级生物安全防护要求最高,D,A、一级（BSL-1）,B、二级（BSL-2）,C、三级（BSL-3）,D、四级（BSL-4）
204 、以下符合急救与防护“四先四后”原则的是：,A,A、先抢后救,B、先轻后重,C、先缓后急,D、先病后伤
205 、干燥箱的使用温度范围为( )，常用鼓风式电热箱以加速升温,C,A、50-350℃,B、50-150℃,C、0℃-250℃
206 、一般将闪点在25℃以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。以下哪种物质不是易燃化学试剂,C,A、乙醚,B、苯,C、甘油,D、汽油
207 、在遇到高压电线断落地面时，导线断落点（）米内，禁止人员进入。,B,A、10,B、20,C、30,D、50
208 、危险化学品的毒害包括,D,A、皮肤腐蚀性/刺激性，眼损伤/眼刺激,B、急性中毒致死，器官或呼吸系统损伤，生殖细胞突变性，致癌性,"C、水环境危害性,放射性危害",D、以上都是
209 、以下哪个药品（试剂）在使用时不用注意干燥防潮,D,A、锂,B、碳化钙,C、磷化钙,D、二氧化硅
210 、预防电击（触电）的一条重要措施是用电设备的金属外壳要有效接地。请从下列选项中选择可靠的接地点。,D,A、单相供电的2根线分别称为火线和地线，选择其中的地线接地。,B、三相供电中的中性点电压应该为零，可以选择这个中性点来接地。,C、实验室内的自来水管（暖气管）是埋设于地下的金属管相连的，可用来接地。,D、专门埋设地下、保证接地电阻很小专用地线。,E、避雷针的接地线。
211 、使用手持电动工具时，下列注意事项哪个正确？,B,A、使用万能插座,B、使用漏电保护器,C、身体或衣服潮湿
"212 、身上着火后,下列哪种灭火方法是错误的？（ ）",C,A、就地打滚。,B、用厚重衣物覆盖压灭火苗。,C、迎风快跑。,D、大量水冲或跳入水中。
213 、氮氧化物主要伤害人体的,B,A、眼、上呼吸道,B、呼吸道深部的细支气管、肺泡,C、皮肤,D、消化道
214 、实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责,A,A、实验室主任,B、指导教师,C、学生
215 、扑救易燃液体火灾时，应（ ）。,A,A、用灭火器,B、用水泼,C、扑打
216 、雷电放电具有什么特点,A,A、电流大，电压高,B、电流小，电压高,C、电流大，电压低,D、电磁波辐射
217 、生物学实验室内，什么物质是易燃易爆物固体？必须妥善安置，正确使用。,B,A、溴化乙锭（EB）,B、松香、硫磺、无机磷,C、三硝基苯磺酸、苦味酸
218 、关于使用高压灭菌器注意事项不正确是,D,A、注意防护，防止烫伤，待温度降下后再开盖,B、禁止器皿盖着盖子进行高压灭菌，易产生爆裂,C、定期检查排水桶、排水管,D、一次高压灭菌物品尽可能装满
219 、当有危害的化学试剂发生泄漏、洒落或堵塞时应如何办？,A,A、首先避开并想好应对的办法再处理。,B、赶紧打扫干净或收拾起来。
220 、以下哪项不属于死亡的特征?,A,A、呼之不应。,B、呼吸停止。,C、心跳停止。,D、双侧瞳孔散大固定。
221 、长期在高频电磁场作用下，操作者会有（　）的不良反应。,C,A、呼吸困难,B、神经失常,C、疲劳无力
222 、国内民用照明电路电压为以下哪种,C,A、直流电压220伏,B、交流电压280伏,C、交流电压220伏,D、交流电压110伏
223 、大量试剂应放在什么地方？,D,A、试剂架上,B、实验室内试剂柜中,C、实验台下柜中,D、试剂库内
224 、锉削加工中锉刀暂时不用时，应放在工作台的什么位置上锉刀放在什么位置都可以,C,A、锉刀放在什么位置都可以,B、锉刀放在台虎钳的上面,C、应放在台虎钳工作台的右面
225 、对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须：,A,A、设置危险废物识别标志,B、设置识别标志,C、设置生活垃圾识别标志,D、不用设置任何标志
226 、师生进入实验室工作，一定要搞清楚（）等位置，有异常情况，要关闭相应的总开关。,B,A、日光灯开关、水槽、通风橱,B、电源总开关、水源总开关,C、通风设备开关、多媒体开关、计算机开关
227 、有些固体化学试剂（如硫化磷、赤磷、镁粉等）与氧化剂接触或在空气中受热、受冲击或磨擦能引起急剧燃烧，甚至爆炸。使用这些化学试剂时，要注意什么,D,A、要注意周围环境湿度不要太高,B、周围温度一般不要超过30℃，最好在20℃以下,C、不要与强氧化剂接触,D、以上都是
228 、不会发生爆炸的是（　）。,B,A、亚麻粉尘,B、砂尘,C、面粉
229 、公共娱乐场所安全出口的疏散门应（ ）。,B,A、自由开启,B、向外开启,C、向内开启
230 、苯乙烯、甲基丙烯酸、乙酸乙烯酯应,A,A、放在防爆冰箱里,B、和其它试剂混放,C、放在通风橱内
231 、骑车时转弯，需要（ ）。,A,A、伸出手，指向所转的方向,B、左右环顾示意一下，直接转弯,C、响铃铛就可以了
232 、在普通冰箱中不可以存放什么物品,D,A、普通化学试剂,B、酶溶液,C、菌体,D、有机溶剂
233 、下列不属于易燃液体的是,A,A、5%稀硫酸,B、乙醇,C、苯,D、二硫化碳
234 、下列何种物质贮存于空气中易发生爆炸,A,A、苯乙烯,B、对二甲苯,C、苯,D、甲苯
235 、以下药品受震或受热可能发生爆炸的是,D,A、过氧化物,B、高氯酸盐,C、乙炔铜,D、以上都是
236 、在进行电子底板贴焊、剪脚等工序时应（ ）。,A,A、戴上防护眼镜,B、戴上护耳器,C、戴上安全帽
237 、化学药品存放室要有防盗设施，保持通风，试剂存放应（ ）。,A,A、按不同类别分类存放,B、大量危险化学品存放在实验室,C、可以存放在走廊上
238 、为了防止在开启或关闭玻璃容器时发生危险，下列哪一种瓶塞不适宜作为盛放具有爆炸危险性物质的玻璃容器的瓶塞？,B,A、软木塞。,B、磨口玻璃塞。,C、胶皮塞。,D、橡胶塞。
239 、实验室内的浓酸、浓碱处理，一般可（ ）。,A,A、先中和后倾倒，并用大量的水冲洗管道,B、不经处理，沿下水道流走,C、不需中和，直接向下水道倾倒
240 、金属梯子不适于（　）。,A,A、有触电机会的工作场所,B、坑穴或密闭场所,C、高空作业
241 、依照实验室生物安全国家标准的规定，什么场所不得从事高致病性病原微生物实验活动？,A,A、一级、二级实验室,B、三级实验室,C、四级实验室
242 、易燃、易爆化学药品等应该堆放在（ ）。,C,A、烘箱、箱式电阻炉等附近,B、冰箱、冰柜等附近,C、必须储存在符合国家标准对安全、消防要求的专用仓库内
243 、工作地点相对湿度大于75%时，则此工作环境属于（　）易触电的环境。,A,A、危险,B、特别危险,C、一般
244 、苯属于高毒类化学品，下列叙述正确的是,D,A、短期接触，苯对中枢神经系统产生麻痹作用，引起急性中毒,B、长期接触，苯会对血液造成极大伤害，引起慢性中毒,C、对皮肤、粘膜有刺激作用，是致癌物质,D、以上都是
245 、实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责,A,A、实验室主任,B、指导教师,C、学生
246 、对于洁净室的工作服是帽子、衣服、裤子和袜套分开的，正确的穿着是？,B,A、帽子的披肩在衣服领子外面、衣服下摆在裤子外面、裤腿在袜套外面。,B、帽子的披肩在衣服领子里面、衣服下摆在裤子里面、裤腿在袜套里面。,C、帽子的披肩在衣服领子外面、衣服下摆在裤子里面、裤腿在袜套外面。,D、帽子的披肩在衣服领子里面、衣服下摆在裤子外面、裤腿在袜套里面。
